Loan Number,SMS Sent,SMS Delivered,SMS Delivered %,SMS Contact,Calls Made,Calls Connected,Calling Contact,Latest PTP Channel,PTP Date,Paid Date,PTP Status,Contactable,SMS Connect,Calling Connect,Contactable Count
LN64,24,22,91.67,Yes,35,2,Yes,TeleCalling,10/09/24,0,BROKEN,Yes,1,1,1
LN65,24,24,100,Yes,31,2,Yes,TeleCalling,30/08/24,0,BROKEN,Yes,1,1,1
LN66,11,10,90.91,Yes,13,1,Yes,0,NaT,09/09/24,NO PTP,Yes,1,1,1
LN67,25,25,100,Yes,37,13,Yes,TeleCalling,05/09/24,10/09/24,BROKEN,Yes,1,1,1
LN68,9,7,77.78,Yes,1,1,Yes,0,NaT,08/09/24,NO PTP,Yes,1,1,1
LN69,6,0,0,No,23,0,No,TeleCalling,11/08/24,0,BROKEN,No,0,0,0
LN70,24,24,100,Yes,55,0,No,0,NaT,0,NO PTP,Yes,1,0,1
LN71,24,24,100,Yes,21,1,Yes,0,NaT,06/09/24,NO PTP,Yes,1,1,1
LN72,24,14,58.33,Yes,12,0,No,0,NaT,0,NO PTP,Yes,1,0,1
LN73,24,24,100,Yes,19,4,Yes,0,NaT,0,NO PTP,Yes,1,1,1
LN74,24,24,100,Yes,44,0,No,0,NaT,0,NO PTP,Yes,1,0,1
LN75,24,23,95.83,Yes,43,5,Yes,TeleCalling,14/08/24,0,BROKEN,Yes,1,1,1
LN76,11,5,45.45,Yes,25,5,Yes,TeleCalling,18/09/24,0,BROKEN,Yes,1,1,1
LN77,24,9,37.5,Yes,23,3,Yes,0,NaT,0,NO PTP,Yes,1,1,1
LN78,6,0,0,No,42,0,No,0,NaT,21/09/24,NO PTP,No,0,0,0
LN79,6,0,0,No,17,0,No,0,NaT,0,NO PTP,No,0,0,0
LN80,6,0,0,No,43,0,No,0,NaT,0,NO PTP,No,0,0,0
LN81,24,22,91.67,Yes,8,0,No,0,NaT,0,NO PTP,Yes,1,0,1
LN82,6,0,0,No,12,0,No,0,NaT,0,NO PTP,No,0,0,0
LN83,9,9,100,Yes,3,1,Yes,0,NaT,07/09/24,NO PTP,Yes,1,1,1
LN84,24,24,100,Yes,13,2,Yes,TeleCalling,16/09/24,0,BROKEN,Yes,1,1,1
LN85,24,21,87.5,Yes,8,1,Yes,0,NaT,0,NO PTP,Yes,1,1,1
LN86,18,18,100,Yes,6,1,Yes,0,NaT,12/09/24,NO PTP,Yes,1,1,1
LN87,11,11,100,Yes,1,0,No,0,NaT,09/09/24,NO PTP,Yes,1,0,1
LN88,6,0,0,No,50,0,No,0,NaT,0,NO PTP,No,0,0,0
LN89,6,1,16.67,Yes,8,0,No,0,NaT,0,NO PTP,Yes,1,0,1
LN90,24,24,100,Yes,20,6,Yes,TeleCalling,11/09/24,0,BROKEN,Yes,1,1,1
LN91,24,24,100,Yes,16,4,Yes,0,NaT,0,NO PTP,Yes,1,1,1
LN92,6,0,0,No,14,0,No,0,NaT,0,NO PTP,No,0,0,0
LN93,5,0,0,No,1,0,No,0,NaT,21/09/24,NO PTP,No,0,0,0
LN94,24,23,95.83,Yes,13,7,Yes,0,NaT,0,NO PTP,Yes,1,1,1
LN95,24,24,100,Yes,10,0,No,0,NaT,0,NO PTP,Yes,1,0,1
LN96,24,21,87.5,Yes,15,1,Yes,0,NaT,16/09/24,NO PTP,Yes,1,1,1
LN97,9,9,100,Yes,1,0,No,0,NaT,08/09/24,NO PTP,Yes,1,0,1
LN98,13,5,38.46,Yes,26,2,Yes,TeleCalling,19/09/24,20/09/24,BROKEN,Yes,1,1,1
LN99,15,9,60,Yes,7,2,Yes,0,NaT,0,NO PTP,Yes,1,1,1
LN100,24,24,100,Yes,9,1,Yes,0,NaT,0,NO PTP,Yes,1,1,1
LN101,6,0,0,No,14,6,Yes,0,NaT,0,NO PTP,Yes,0,1,1
LN102,6,0,0,No,11,2,Yes,0,NaT,20/09/24,NO PTP,Yes,0,1,1
LN103,6,0,0,No,37,0,No,0,NaT,20/09/24,NO PTP,No,0,0,0
LN104,24,24,100,Yes,15,2,Yes,0,NaT,0,NO PTP,Yes,1,1,1
LN105,24,23,95.83,Yes,10,6,Yes,0,NaT,0,NO PTP,Yes,1,1,1
LN106,13,9,69.23,Yes,14,4,Yes,0,NaT,0,NO PTP,Yes,1,1,1
LN107,24,24,100,Yes,12,2,Yes,0,NaT,0,NO PTP,Yes,1,1,1
LN108,24,19,79.17,Yes,11,3,Yes,0,NaT,21/09/24,NO PTP,Yes,1,1,1
LN109,22,22,100,Yes,14,6,Yes,0,NaT,0,NO PTP,Yes,1,1,1
LN110,24,23,95.83,Yes,46,0,No,0,NaT,0,NO PTP,Yes,1,0,1
LN111,18,13,72.22,Yes,5,2,Yes,0,NaT,11/09/24,NO PTP,Yes,1,1,1
LN112,9,9,100,Yes,2,0,No,0,NaT,05/09/24,NO PTP,Yes,1,0,1
LN113,6,0,0,No,16,0,No,0,NaT,0,NO PTP,No,0,0,0
LN114,24,2,8.33,Yes,40,0,No,0,NaT,0,NO PTP,Yes,1,0,1
LN115,24,7,29.17,Yes,31,2,Yes,TeleCalling,18/09/24,0,BROKEN,Yes,1,1,1
LN116,6,0,0,No,13,0,No,0,NaT,0,NO PTP,No,0,0,0
LN117,6,0,0,No,17,3,Yes,0,NaT,0,NO PTP,Yes,0,1,1
LN118,24,23,95.83,Yes,10,1,Yes,0,NaT,0,NO PTP,Yes,1,1,1
LN119,13,4,30.77,Yes,12,2,Yes,0,NaT,05/09/24,NO PTP,Yes,1,1,1
LN120,24,23,95.83,Yes,12,3,Yes,0,NaT,0,NO PTP,Yes,1,1,1
LN121,6,0,0,No,51,0,No,0,NaT,0,NO PTP,No,0,0,0
LN122,24,21,87.5,Yes,28,0,No,0,NaT,0,NO PTP,Yes,1,0,1
LN123,7,0,0,No,14,0,No,0,NaT,0,NO PTP,No,0,0,0
LN124,24,22,91.67,Yes,53,0,No,0,NaT,0,NO PTP,Yes,1,0,1
LN125,9,9,100,Yes,2,0,No,0,NaT,07/09/24,NO PTP,Yes,1,0,1
LN126,24,24,100,Yes,20,2,Yes,0,NaT,20/09/24,NO PTP,Yes,1,1,1
LN127,24,24,100,Yes,13,1,Yes,0,NaT,0,NO PTP,Yes,1,1,1
LN128,9,9,100,Yes,2,0,No,0,NaT,07/09/24,NO PTP,Yes,1,0,1
LN129,24,9,37.5,Yes,22,5,Yes,0,NaT,0,NO PTP,Yes,1,1,1
LN130,26,22,84.62,Yes,20,9,Yes,0,NaT,0,NO PTP,Yes,1,1,1
LN131,24,17,70.83,Yes,13,4,Yes,0,NaT,0,NO PTP,Yes,1,1,1
LN132,6,0,0,No,31,0,No,0,NaT,0,NO PTP,No,0,0,0
LN133,14,9,64.29,Yes,13,1,Yes,0,NaT,0,NO PTP,Yes,1,1,1
LN134,24,24,100,Yes,35,1,Yes,0,NaT,0,NO PTP,Yes,1,1,1
LN135,24,24,100,Yes,14,1,Yes,0,NaT,0,NO PTP,Yes,1,1,1
LN136,9,4,44.44,Yes,30,5,Yes,0,NaT,0,NO PTP,Yes,1,1,1
LN137,6,0,0,No,14,0,No,0,NaT,0,NO PTP,No,0,0,0
LN138,24,5,20.83,Yes,31,0,No,0,NaT,14/09/24,NO PTP,Yes,1,0,1
LN139,24,24,100,Yes,9,1,Yes,0,NaT,13/09/24,NO PTP,Yes,1,1,1
LN140,19,15,78.95,Yes,33,4,Yes,TeleCalling,19/09/24,0,BROKEN,Yes,1,1,1
LN141,9,9,100,Yes,1,0,No,0,NaT,02/09/24,NO PTP,Yes,1,0,1
LN142,6,1,16.67,Yes,25,2,Yes,0,NaT,0,NO PTP,Yes,1,1,1
LN143,24,24,100,Yes,8,1,Yes,0,NaT,0,NO PTP,Yes,1,1,1
LN144,9,9,100,Yes,1,0,No,0,NaT,02/09/24,NO PTP,Yes,1,0,1
LN145,24,21,87.5,Yes,24,2,Yes,0,NaT,0,NO PTP,Yes,1,1,1
LN146,6,0,0,No,11,0,No,0,NaT,0,NO PTP,No,0,0,0
LN147,12,7,58.33,Yes,14,1,Yes,0,NaT,0,NO PTP,Yes,1,1,1
LN148,8,0,0,No,37,0,No,TeleCalling,08/08/24,03/09/24,BROKEN,No,0,0,0
LN149,24,24,100,Yes,34,2,Yes,TeleCalling,13/09/24,0,BROKEN,Yes,1,1,1
LN150,24,23,95.83,Yes,48,0,No,0,NaT,0,NO PTP,Yes,1,0,1
LN151,24,24,100,Yes,10,1,Yes,0,NaT,0,NO PTP,Yes,1,1,1
LN152,6,0,0,No,21,0,No,0,NaT,0,NO PTP,No,0,0,0
LN153,24,24,100,Yes,9,3,Yes,0,NaT,0,NO PTP,Yes,1,1,1
LN154,6,0,0,No,51,0,No,0,NaT,04/09/24,NO PTP,No,0,0,0
LN155,24,4,16.67,Yes,10,0,No,0,NaT,0,NO PTP,Yes,1,0,1
LN156,6,0,0,No,23,0,No,0,NaT,0,NO PTP,No,0,0,0
LN157,24,24,100,Yes,15,2,Yes,0,NaT,0,NO PTP,Yes,1,1,1
LN158,6,0,0,No,45,0,No,0,NaT,03/09/24,NO PTP,No,0,0,0
LN159,24,24,100,Yes,11,0,No,0,NaT,0,NO PTP,Yes,1,0,1
LN160,24,23,95.83,Yes,11,0,No,0,NaT,0,NO PTP,Yes,1,0,1
LN161,24,23,95.83,Yes,20,5,Yes,TeleCalling,11/09/24,0,BROKEN,Yes,1,1,1
LN162,24,24,100,Yes,12,1,Yes,0,NaT,0,NO PTP,Yes,1,1,1
LN163,9,8,88.89,Yes,2,0,No,0,NaT,07/09/24,NO PTP,Yes,1,0,1
LN164,6,0,0,No,14,0,No,0,NaT,0,NO PTP,No,0,0,0
LN165,6,0,0,No,13,0,No,0,NaT,0,NO PTP,No,0,0,0
LN166,7,0,0,No,10,0,No,0,NaT,0,NO PTP,No,0,0,0
LN167,11,3,27.27,Yes,2,0,No,0,NaT,09/09/24,NO PTP,Yes,1,0,1
LN168,6,0,0,No,13,0,No,0,NaT,23/09/24,NO PTP,No,0,0,0
LN169,24,24,100,Yes,12,3,Yes,TeleCalling,12/08/24,0,BROKEN,Yes,1,1,1
LN170,9,0,0,No,20,0,No,0,NaT,0,NO PTP,No,0,0,0
LN171,6,0,0,No,42,0,No,0,NaT,21/09/24,NO PTP,No,0,0,0
LN172,24,24,100,Yes,14,1,Yes,0,NaT,0,NO PTP,Yes,1,1,1
LN173,24,23,95.83,Yes,12,1,Yes,0,NaT,0,NO PTP,Yes,1,1,1
LN174,24,23,95.83,Yes,18,0,No,0,NaT,0,NO PTP,Yes,1,0,1
LN175,9,9,100,Yes,10,2,Yes,0,NaT,04/09/24,NO PTP,Yes,1,1,1
LN176,24,6,25,Yes,57,0,No,TeleCalling,16/08/24,13/09/24,BROKEN,Yes,1,0,1
LN177,6,0,0,No,26,0,No,0,NaT,21/09/24,NO PTP,No,0,0,0
LN178,24,18,75,Yes,45,1,Yes,0,NaT,19/09/24,NO PTP,Yes,1,1,1
LN179,24,7,29.17,Yes,22,0,No,0,NaT,0,NO PTP,Yes,1,0,1
LN180,9,9,100,Yes,2,1,Yes,0,NaT,06/09/24,NO PTP,Yes,1,1,1
LN181,8,0,0,No,40,0,No,0,NaT,07/09/24,NO PTP,No,0,0,0
LN182,6,0,0,No,12,0,No,0,NaT,0,NO PTP,No,0,0,0
LN183,9,9,100,Yes,2,1,Yes,0,NaT,02/09/24,NO PTP,Yes,1,1,1
LN184,25,23,92,Yes,42,11,Yes,0,NaT,0,NO PTP,Yes,1,1,1
LN185,24,10,41.67,Yes,12,3,Yes,0,NaT,21/09/24,NO PTP,Yes,1,1,1
LN186,24,24,100,Yes,31,7,Yes,TeleCalling,27/08/24,0,BROKEN,Yes,1,1,1
LN187,9,9,100,Yes,8,5,Yes,TeleCalling,05/09/24,06/09/24,BROKEN,Yes,1,1,1
LN188,24,22,91.67,Yes,17,0,No,0,NaT,0,NO PTP,Yes,1,0,1
LN189,17,12,70.59,Yes,18,0,No,0,NaT,0,NO PTP,Yes,1,0,1
LN190,24,24,100,Yes,22,1,Yes,0,NaT,0,NO PTP,Yes,1,1,1
LN191,24,17,70.83,Yes,27,1,Yes,0,NaT,0,NO PTP,Yes,1,1,1
LN192,7,0,0,No,12,0,No,0,NaT,02/09/24,NO PTP,No,0,0,0
LN193,24,24,100,Yes,39,2,Yes,0,NaT,0,NO PTP,Yes,1,1,1
LN194,24,24,100,Yes,17,2,Yes,0,NaT,0,NO PTP,Yes,1,1,1
LN195,9,8,88.89,Yes,8,1,Yes,0,NaT,05/09/24,NO PTP,Yes,1,1,1
LN196,4,0,0,No,2,1,Yes,0,NaT,03/09/24,NO PTP,Yes,0,1,1
LN197,4,0,0,No,6,2,Yes,TeleCalling,24/09/24,04/09/24,KEPT,Yes,0,1,1
LN198,6,0,0,No,16,0,No,0,NaT,0,NO PTP,No,0,0,0
LN199,24,24,100,Yes,37,2,Yes,0,NaT,0,NO PTP,Yes,1,1,1
LN200,25,24,96,Yes,22,5,Yes,TeleCalling,16/08/24,10/09/24,BROKEN,Yes,1,1,1
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
